Skill,Count,Ranking
sql,8,0.5333333333333333
excel,5,0.3333333333333333
c++,3,0.2
python,9,0.6
java,6,0.4
hadoop,5,0.3333333333333333
r,5,0.3333333333333333
rdbms,1,0.06666666666666667
pig,2,0.13333333333333333
spark,4,0.26666666666666666
ruby,2,0.13333333333333333
bash,1,0.06666666666666667
tableau,2,0.13333333333333333
hive,2,0.13333333333333333
scala,2,0.13333333333333333
javascript,1,0.06666666666666667
sas,1,0.06666666666666667
spss,1,0.06666666666666667
perl,1,0.06666666666666667
d3,1,0.06666666666666667
